id,date,degree,semester,course,age,lectures_completed,device_usage,notes,side_usage,pages_usage,color,color_usage,printing_reason,printing_location,printing_decision,printing_amount
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,cheatsheet for exam,exam preparation,university,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,cheatsheet for exam,exam preparation,university,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,cheatsheet for exam,exam preparation,at work,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,cheatsheet for exam,exam preparation,at work,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,old exams,exam preparation,university,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,old exams,exam preparation,university,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,old exams,exam preparation,at work,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,old exams,exam preparation,at work,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,notes,exam preparation,university,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,notes,exam preparation,university,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,notes,exam preparation,at work,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,notes,exam preparation,at work,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,research papers,exam preparation,university,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,research papers,exam preparation,university,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,research papers,exam preparation,at work,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,research papers,exam preparation,at work,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,books,exam preparation,university,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,books,exam preparation,university,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,books,exam preparation,at work,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,books,exam preparation,at work,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,lecture slides,exam preparation,university,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,lecture slides,exam preparation,university,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,lecture slides,exam preparation,at work,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,lecture slides,exam preparation,at work,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,exercises,exam preparation,university,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,exercises,exam preparation,university,environmental concerns,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,exercises,exam preparation,at work,convenience,401 - 500
21,2025-05-22,bachelor,2,Natural Science,20,5,laptop,digitally,double-sided,2,black-and-white,exercises,exam preparation,at work,environmental concerns,401 - 500
22,2025-05-22,master,2,Engineering,25,4,tablet,digitally,double-sided,2,black-and-white,cheatsheet for exam,exam preparation,university,cost,11 - 50
23,2025-05-22,master,2,Natural Science,24,5,laptop,digitally,double-sided,4,black-and-white,old exams,exam preparation,university,convenience,51 - 100
24,2025-05-22,bachelor,10,Engineering,24,1,laptop,digitally,one-sided,1,colors,old exams,annotation,home,cost,101 - 200
24,2025-05-22,bachelor,10,Engineering,24,1,laptop,digitally,one-sided,1,colors,old exams,annotation,home,convenience,101 - 200
25,2025-05-22,master,6,Engineering,25,3,tablet,digitally,double-sided,2,colors,cheatsheet for exam,exam preparation,copy shop,other,11 - 50
26,2025-05-22,master,7,Other,25,7,tablet,digitally,double-sided,4,black-and-white,cheatsheet for exam,annotation,university,convenience,201 - 300
26,2025-05-22,master,7,Other,25,7,tablet,digitally,double-sided,4,black-and-white,old exams,annotation,university,convenience,201 - 300
